item,category,prediction,correct,prediction_proba
Lovehoney Bedtime Bullet 10 Function Love Egg and Bullet Vibrator Set Pink,other,apparel_accessories,FALSE,0.492356086
In The Style x Lorna Luxe lullaby ribbed hoody co ord in stone,apparel_accessories,apparel_accessories,FALSE,0.4893196833
Big and Tall MAN Dash Basket Ball Short,apparel_accessories,apparel_accessories,FALSE,0.4903826015
Bibbi Sweatshirt Light Pink Light Pink Medium,apparel_accessories,apparel_accessories,FALSE,0.490577784
Short Muscle Fit Dogtooth Shirt,apparel_accessories,apparel_accessories,FALSE,0.6144393315
Pimkie ribbed cami in black,apparel_accessories,apparel_accessories,FALSE,0.5253390803
Leech Hoodie Black #GoBigOrGoHome - XL,apparel_accessories,apparel_accessories,FALSE,0.8314166393
x1 Sinners Attire  SNRS Dip Dye Fade Tee  Black/White Size: S,apparel_accessories,apparel_accessories,FALSE,0.5251204326
Charlotte Tilbury Lip Lustre Pillowtalk 3.5ml,other,other,FALSE,0.5498961349
Sofa Love Lace Back Detail Wrap  - Black Size : 14,apparel_accessories,apparel_accessories,FALSE,0.7846689739
Solid brushed check shirt in brown,apparel_accessories,apparel_accessories,FALSE,0.4929380903
x1 Vango ShangriLa 15cm Double Self Inflating Mat Color: SKY Size: ONE SIZE,other,home_garden_furniture,FALSE,0.4929641899
AnyCast M2Plus Wireless Same Screen Device 4K UHD Media Streamer Screen Mirroring TV Stick 2.4G/5G Dual WIFI WiFi Display Receiver,other,other,FALSE,0.6400509148
HKM Ladies Thermo Stable Boots - Black / UK 41,apparel_accessories,apparel_accessories,FALSE,0.6243209191
Urban Ears Plattan 2 wireless headphones in pink,other,apparel_accessories,FALSE,0.4933265413
Maternity Grey Ribbed Hoodie and Joggers Set,apparel_accessories,home_garden_furniture,FALSE,0.4937136799
b.Young dog tooth cigarette trousers,apparel_accessories,apparel_accessories,FALSE,0.6251493337
Miss Selfridge long sleeve mini smock dress in berry,apparel_accessories,other,FALSE,0.4943038035
x1 Liberty Floors Premier Click Sample SKU193320 Premier Click 14mm x 125mm Grey White Washed Brushed  Matt Lacquered Engineered Real Wood Flooring Sample SKU193320,apparel_accessories,home_garden_furniture,FALSE,0.4961727154
ed strip light och 40 tangenter fjärrkontroll bluetooth controller för sovrum hem tv,other,apparel_accessories,FALSE,0.4966030244
Sean John x Missguided Black Signature Script Long Basketball Shorts,apparel_accessories,apparel_accessories,FALSE,0.4966343879
Brown Dog Tooth Check Skinny Trousers,apparel_accessories,apparel_accessories,FALSE,0.5744696506
Exclusive - Warm Water Green Beast (DT BAITS / CARP GLOBAL) - 1kg Shelf life,other,other,FALSE,0.4973932962
tommy hilfiger pale pink mirror sparkle beach slide sandals UK 7,apparel_accessories,apparel_accessories,FALSE,0.5237631863
adidas Celtic FC 2020/21 Home Socks PRE ORDER,apparel_accessories,home_garden_furniture,FALSE,0.6693850073
Navy Floral Print Tired Top,apparel_accessories,apparel_accessories,FALSE,0.8164580687
ASOS DESIGN Petite lounge brushed jogger in black,apparel_accessories,apparel_accessories,FALSE,0.4999183015
x1 CP Lighting  Interiors Core LED Wall Light in Polished Chrome and Glass,other,home_garden_furniture,FALSE,0.4936256761
Trakker - RLX Flat 6 Leg Bedchair,home_garden_furniture,apparel_accessories,FALSE,0.7963635406
Nike Yoga strappy ribbed tank in grey,apparel_accessories,apparel_accessories,FALSE,0.603261778
Kiehl's Baby Nurturing Cream for Face & Body 200ml,other,other,FALSE,0.7770522432
Miss Selfridge v-neck bodysuit in white,apparel_accessories,other,FALSE,0.5335832257
ASOS DESIGN bonded shopper bag with removable tablet case,apparel_accessories,apparel_accessories,FALSE,0.5334902143
tommy hilfiger pale pink mirror sparkle beach slide sandals UK 3.5,apparel_accessories,apparel_accessories,FALSE,0.4752743181
