item,category,count_sizes,number_count,fraction_upper_words,fraction_upper_start_words,special_char_count,has_volume,has_weight,has_uk_size,has_area,has_color,spaces,has_cm,has_m,has_xn,has_french_combinations,item_processed
Lovehoney Bedtime Bullet 10 Function Love Egg and Bullet Vibrator Set Pink,2,0,2,0.0,0.8333333333333334,11,False,False,False,False,True,12,False,False,False,False,lovehoney bedtime bullet function love egg bullet vibrator set pink
In The Style x Lorna Luxe lullaby ribbed hoody co ord in stone,0,0,0,0.0,0.4166666666666667,12,False,False,False,False,False,13,False,False,False,False,style lorna luxe lullaby ribbed hoody co ord stone
Big and Tall MAN Dash Basket Ball Short,0,0,0,0.125,0.875,7,False,False,False,False,False,8,False,False,False,False,big tall man dash basket ball short
Bibbi Sweatshirt Light Pink Light Pink Medium,0,0,0,0.0,1.0,6,False,False,False,False,True,7,False,False,False,False,bibbi sweatshirt light pink light pink medium
Short Muscle Fit Dogtooth Shirt,0,0,0,0.0,1.0,4,False,False,False,False,False,5,False,False,False,False,short muscle fit dogtooth shirt
Pimkie ribbed cami in black,0,0,0,0.0,0.2,4,False,False,False,False,True,5,False,False,False,False,pimkie ribbed cami black
Leech Hoodie Black #GoBigOrGoHome - XL,0,0,0,0.2,0.8,7,False,False,False,False,True,6,False,False,False,False,leech hoodie black gobigorgohome xl
x1 Sinners Attire  SNRS Dip Dye Fade Tee  Black/White Size: S,0,1,1,0.1,0.9,14,False,False,False,False,True,11,False,False,True,False,sinners attire snrs dip dye fade tee blackwhite size
Charlotte Tilbury Lip Lustre Pillowtalk 3.5ml,2,0,2,0.0,0.8333333333333334,6,True,False,False,False,False,6,False,True,False,False,charlotte tilbury lip lustre pillowtalk ml
Sofa Love Lace Back Detail Wrap  - Black Size : 14,0,0,2,0.0,0.8888888888888888,13,False,False,False,False,True,11,False,False,False,False,sofa love lace back detail wrap black size
Solid brushed check shirt in brown,0,0,0,0.0,0.16666666666666666,5,False,False,False,False,True,6,False,False,False,False,solid brushed check shirt brown
x1 Vango ShangriLa 15cm Double Self Inflating Mat Color: SKY Size: ONE SIZE,2,0,3,0.23076923076923078,0.8461538461538461,14,False,False,False,False,False,13,True,False,True,False,vango shangrila cm double self inflating mat color sky size one size
AnyCast M2Plus Wireless Same Screen Device 4K UHD Media Streamer Screen Mirroring TV Stick 2.4G/5G Dual WIFI WiFi Display Receiver,2,0,5,0.25,0.9,21,False,False,False,False,False,20,False,False,False,False,anycast mplus wireless screen device uhd media streamer screen mirroring tv stick gg dual wifi wifi display receiver
HKM Ladies Thermo Stable Boots - Black / UK 41,0,0,2,0.25,0.875,11,False,False,True,False,True,10,False,False,False,False,hkm ladies thermo stable boots black uk
Urban Ears Plattan 2 wireless headphones in pink,2,0,1,0.0,0.42857142857142855,7,False,False,False,False,True,8,False,False,False,False,urban ears plattan wireless headphones pink
Maternity Grey Ribbed Hoodie and Joggers Set,0,0,0,0.0,0.8571428571428571,6,False,False,False,False,True,7,False,False,False,False,maternity grey ribbed hoodie joggers set
b.Young dog tooth cigarette trousers,0,0,0,0.0,0.0,5,False,False,False,False,False,5,False,False,False,False,byoung dog tooth cigarette trousers
Miss Selfridge long sleeve mini smock dress in berry,0,0,0,0.0,0.2222222222222222,8,False,False,False,False,False,9,False,False,False,False,miss selfridge long sleeve mini smock dress berry
x1 Liberty Floors Premier Click Sample SKU193320 Premier Click 14mm x 125mm Grey White Washed Brushed  Matt Lacquered Engineered Real Wood Flooring Sample SKU193320,0,0,18,0.08695652173913043,0.8695652173913043,24,False,False,False,False,True,24,False,True,True,False,liberty floors premier click sample sku premier click mm mm grey white washed brushed matt lacquered engineered real wood flooring sample sku
ed strip light och 40 tangenter fjärrkontroll bluetooth controller för sovrum hem tv,2,0,2,0.0,0.0,12,False,False,False,False,True,13,False,False,False,False,ed strip light och tangenter fjärrkontroll bluetooth controller för sovrum hem tv
Sean John x Missguided Black Signature Script Long Basketball Shorts,0,0,0,0.0,1.0,9,False,False,False,False,True,10,False,False,False,False,sean john missguided black signature script long basketball shorts
Brown Dog Tooth Check Skinny Trousers,0,0,0,0.0,1.0,5,False,False,False,False,True,6,False,False,False,False,brown dog tooth check skinny trousers
Exclusive - Warm Water Green Beast (DT BAITS / CARP GLOBAL) - 1kg Shelf life,2,0,1,0.3333333333333333,0.75,19,False,True,False,False,True,15,False,False,False,False,exclusive warm water green beast dt baits carp global kg shelf life
tommy hilfiger pale pink mirror sparkle beach slide sandals UK 7,0,0,1,0.1,0.1,10,False,False,True,False,True,11,False,False,False,False,tommy hilfiger pale pink mirror sparkle beach slide sandals uk
adidas Celtic FC 2020/21 Home Socks PRE ORDER,0,0,6,0.375,0.75,8,False,False,False,False,False,8,False,False,False,False,adidas celtic fc home socks pre order
Navy Floral Print Tired Top,0,0,0,0.0,1.0,4,False,False,False,False,True,5,False,False,False,False,navy floral print tired top
ASOS DESIGN Petite lounge brushed jogger in black,0,0,0,0.25,0.375,7,False,False,False,False,True,8,False,False,False,False,asos design petite lounge brushed jogger black
x1 CP Lighting  Interiors Core LED Wall Light in Polished Chrome and Glass,2,0,1,0.15384615384615385,0.7692307692307693,13,False,False,False,False,False,13,False,False,True,False,cp lighting interiors core led wall light polished chrome glass
Trakker - RLX Flat 6 Leg Bedchair,1,0,1,0.2,1.0,7,False,False,False,False,False,7,False,False,False,False,trakker rlx flat leg bedchair
Nike Yoga strappy ribbed tank in grey,0,0,0,0.0,0.2857142857142857,6,False,False,False,False,True,7,False,False,False,False,nike yoga strappy ribbed tank grey
Kiehl's Baby Nurturing Cream for Face & Body 200ml,2,0,3,0.0,0.75,10,True,False,False,False,False,9,False,True,False,False,kiehls baby nurturing cream face body ml
