item,category,count_sizes,number_count,fraction_upper_words,fraction_upper_start_words,special_char_count,has_volume,has_weight,has_uk_size,has_area,has_color,spaces,has_cm,has_m,has_xn,has_french_combinations,item_processed
Lovehoney Bedtime Bullet 10 Function Love Egg and Bullet Vibrator Set Pink,2,0,2,0.0,0.8333333333333334,11,False,False,False,False,True,12,False,False,False,False,lovehonei bedtim bullet function love egg bullet vibrat set pink
In The Style x Lorna Luxe lullaby ribbed hoody co ord in stone,0,0,0,0.0,0.4166666666666667,12,False,False,False,False,False,13,False,False,False,False,style lorna lux lullabi rib hoodi co ord stone
Big and Tall MAN Dash Basket Ball Short,0,0,0,0.125,0.875,7,False,False,False,False,False,8,False,False,False,False,big tall man dash basket ball short
Bibbi Sweatshirt Light Pink Light Pink Medium,0,0,0,0.0,1.0,6,False,False,False,False,True,7,False,False,False,False,bibbi sweatshirt light pink light pink medium
Short Muscle Fit Dogtooth Shirt,0,0,0,0.0,1.0,4,False,False,False,False,False,5,False,False,False,False,short muscl fit dogtooth shirt
Pimkie ribbed cami in black,0,0,0,0.0,0.2,4,False,False,False,False,True,5,False,False,False,False,pimki rib cami black
Leech Hoodie Black #GoBigOrGoHome - XL,0,0,0,0.2,0.8,7,False,False,False,False,True,6,False,False,False,False,leech hoodi black gobigorgohom xl
x1 Sinners Attire  SNRS Dip Dye Fade Tee  Black/White Size: S,0,1,1,0.1,0.9,14,False,False,False,False,True,11,False,False,True,False,sinner attir snr dip dye fade tee blackwhit size
Charlotte Tilbury Lip Lustre Pillowtalk 3.5ml,2,0,2,0.0,0.8333333333333334,6,True,False,False,False,False,6,False,True,False,False,charlott tilburi lip lustr pillowtalk ml
Sofa Love Lace Back Detail Wrap  - Black Size : 14,0,0,2,0.0,0.8888888888888888,13,False,False,False,False,True,11,False,False,False,False,sofa love lace back detail wrap black size
Solid brushed check shirt in brown,0,0,0,0.0,0.16666666666666666,5,False,False,False,False,True,6,False,False,False,False,solid brush check shirt brown
x1 Vango ShangriLa 15cm Double Self Inflating Mat Color: SKY Size: ONE SIZE,2,0,3,0.23076923076923078,0.8461538461538461,14,False,False,False,False,False,13,True,False,True,False,vango shangrila cm doubl self inflat mat color sky size on size
AnyCast M2Plus Wireless Same Screen Device 4K UHD Media Streamer Screen Mirroring TV Stick 2.4G/5G Dual WIFI WiFi Display Receiver,2,0,5,0.25,0.9,21,False,False,False,False,False,20,False,False,False,False,anycast mplu wireless screen devic uhd media streamer screen mirror tv stick gg dual wifi wifi displai receiv
HKM Ladies Thermo Stable Boots - Black / UK 41,0,0,2,0.25,0.875,11,False,False,True,False,True,10,False,False,False,False,hkm ladi thermo stabl boot black uk
Urban Ears Plattan 2 wireless headphones in pink,2,0,1,0.0,0.42857142857142855,7,False,False,False,False,True,8,False,False,False,False,urban ear plattan wireless headphon pink
Maternity Grey Ribbed Hoodie and Joggers Set,0,0,0,0.0,0.8571428571428571,6,False,False,False,False,True,7,False,False,False,False,matern grei rib hoodi jogger set
b.Young dog tooth cigarette trousers,0,0,0,0.0,0.0,5,False,False,False,False,False,5,False,False,False,False,byoung dog tooth cigarett trouser
Miss Selfridge long sleeve mini smock dress in berry,0,0,0,0.0,0.2222222222222222,8,False,False,False,False,False,9,False,False,False,False,miss selfridg long sleev mini smock dress berri
x1 Liberty Floors Premier Click Sample SKU193320 Premier Click 14mm x 125mm Grey White Washed Brushed  Matt Lacquered Engineered Real Wood Flooring Sample SKU193320,0,0,18,0.08695652173913043,0.8695652173913043,24,False,False,False,False,True,24,False,True,True,False,liberti floor premier click sampl sku premier click mm mm grei white wash brush matt lacquer engin real wood floor sampl sku
ed strip light och 40 tangenter fjärrkontroll bluetooth controller för sovrum hem tv,2,0,2,0.0,0.0,12,False,False,False,False,True,13,False,False,False,False,ed strip light och tangent fjärrkontrol bluetooth control för sovrum hem tv
Sean John x Missguided Black Signature Script Long Basketball Shorts,0,0,0,0.0,1.0,9,False,False,False,False,True,10,False,False,False,False,sean john missguid black signatur script long basketbal short
Brown Dog Tooth Check Skinny Trousers,0,0,0,0.0,1.0,5,False,False,False,False,True,6,False,False,False,False,brown dog tooth check skinni trouser
Exclusive - Warm Water Green Beast (DT BAITS / CARP GLOBAL) - 1kg Shelf life,2,0,1,0.3333333333333333,0.75,19,False,True,False,False,True,15,False,False,False,False,exclus warm water green beast dt bait carp global kg shelf life
tommy hilfiger pale pink mirror sparkle beach slide sandals UK 7,0,0,1,0.1,0.1,10,False,False,True,False,True,11,False,False,False,False,tommi hilfig pale pink mirror sparkl beach slide sandal uk
adidas Celtic FC 2020/21 Home Socks PRE ORDER,0,0,6,0.375,0.75,8,False,False,False,False,False,8,False,False,False,False,adida celtic fc home sock pre order
Navy Floral Print Tired Top,0,0,0,0.0,1.0,4,False,False,False,False,True,5,False,False,False,False,navi floral print tire top
ASOS DESIGN Petite lounge brushed jogger in black,0,0,0,0.25,0.375,7,False,False,False,False,True,8,False,False,False,False,aso design petit loung brush jogger black
x1 CP Lighting  Interiors Core LED Wall Light in Polished Chrome and Glass,2,0,1,0.15384615384615385,0.7692307692307693,13,False,False,False,False,False,13,False,False,True,False,cp light interior core led wall light polish chrome glass
Trakker - RLX Flat 6 Leg Bedchair,1,0,1,0.2,1.0,7,False,False,False,False,False,7,False,False,False,False,trakker rlx flat leg bedchair
Nike Yoga strappy ribbed tank in grey,0,0,0,0.0,0.2857142857142857,6,False,False,False,False,True,7,False,False,False,False,nike yoga strappi rib tank grei
Kiehl's Baby Nurturing Cream for Face & Body 200ml,2,0,3,0.0,0.75,10,True,False,False,False,False,9,False,True,False,False,kiehl babi nurtur cream face bodi ml
Miss Selfridge v-neck bodysuit in white,0,0,0,0.0,0.3333333333333333,6,False,False,False,False,True,6,False,False,False,False,miss selfridg neck bodysuit white
ASOS DESIGN bonded shopper bag with removable tablet case,0,0,0,0.2222222222222222,0.2222222222222222,8,False,False,False,False,False,9,False,False,False,False,aso design bond shopper bag remov tablet case
tommy hilfiger pale pink mirror sparkle beach slide sandals UK 3.5,0,0,2,0.09090909090909091,0.09090909090909091,11,False,False,True,False,True,11,False,False,False,False,tommi hilfig pale pink mirror sparkl beach slide sandal uk
Closet wide leg pleated trousers,0,0,0,0.0,0.2,4,False,False,False,False,False,5,False,False,False,False,closet wide leg pleat trouser
Steampunk-Haarreif mit Schleife für Damen Accessoire braun Einheitsgröße,0,0,0,0.0,0.625,8,False,False,False,False,False,8,False,False,False,False,steampunk haarreif mit schleif für damen accessoir braun einheitsgröß
Toddler Boys Letter & Cartoon Graphic Tee & Ripped Denim Shorts,0,0,0,0.0,1.0,12,False,False,False,False,False,11,False,False,False,False,toddler boi letter cartoon graphic tee rip denim short
My Accessories London Exclusive slouchy pillow clutch bag in taupe faux fur,0,0,0,0.0,0.3333333333333333,11,False,False,False,False,False,12,False,False,False,True,accessori london exclus slouchi pillow clutch bag taup faux fur
Caféracer - Pebble Grey / 55cm / 3S + Handbrake,2,0,3,0.16666666666666666,0.6666666666666666,13,False,False,False,False,True,10,True,False,False,False,caférac pebbl grei cm handbrak
"Lily Pants i viskose, et plantebasert stoff. Høyabsorberende, pustende og ekstremt lette gjør dem perfekte å sove i. Buksene har en komfortabel, ledig passform og lommer på hver side.",0,0,0,0.0,0.14814814814814814,34,False,False,False,False,False,29,False,False,False,False,lili pant viskos et plantebasert stoff høyabsorberend pustend og ekstremt lett gjør dem perfekt sove buksen har en komfortabel ledig passform og lommer på hver side
x1 Kobra HP Spray Paint Colour: HP045 Gold,2,0,4,0.25,0.875,8,False,False,False,False,True,8,False,False,True,False,kobra hp sprai paint colour hp gold
Plus Two Tone Ribbed Panel Tie Front Cami Romper,0,0,0,0.0,1.0,8,False,False,False,False,False,9,False,False,False,False,plu two tone rib panel tie front cami romper
Halfords - HEREFORD (HOMER ROAD),1,0,0,0.75,0.75,7,False,False,False,False,False,5,False,False,False,False,halford hereford homer road
Sculpted Tooth Terry Shirt  XXL,0,1,0,0.2,1.0,5,False,False,False,False,False,5,False,False,False,False,sculpt tooth terri shirt xxl
2020 Nouveau Mini Court Portefeuille Mode Rétro Treillis Portefeuille Anti-vol Multi-couche Zipper Carte Cas,0,0,4,0.0,0.9285714285714286,15,False,False,False,False,False,14,False,False,False,True,nouveau mini court portefeuil mode rétro treilli portefeuil anti vol multi couch zipper cart ca
Schuhbank für 6 Paar Schuhe,1,0,1,0.0,0.75,4,False,False,False,False,False,5,False,False,False,False,schuhbank für paar schuhe
Miss Selfridge angel sleeve maxi dress in peach,0,0,0,0.0,0.25,7,False,False,False,False,False,8,False,False,False,False,miss selfridg angel sleev maxi dress peach
Meringue Bites - Less than 100 Calories Per Serving 75g (6 Flavours) - Raspberry Meringue Bites,2,0,6,0.0,0.7142857142857143,19,False,True,False,False,False,16,False,False,False,False,meringu bite less calori per serv flavour raspberri meringu bite
Miss Selfridge v-neck bodysuit in khaki,0,0,0,0.0,0.3333333333333333,6,False,False,False,False,False,6,False,False,False,False,miss selfridg neck bodysuit khaki
Stone Racer Towelling Knit Top,0,0,0,0.0,1.0,4,False,False,False,False,False,5,False,False,False,False,stone racer towel knit top
150cm LED Selfie Round Light Floor Standing,2,0,3,0.14285714285714285,0.8571428571428571,6,False,False,False,False,False,7,True,False,False,False,cm led selfi round light floor stand
x1 Sinners Attire  SNRS Core Joggers  Black Size: M,0,1,1,0.125,0.875,11,False,False,False,False,True,9,False,False,True,False,sinner attir snr core jogger black size
Closet London mini dress in abstract floral,0,0,0,0.0,0.2857142857142857,6,False,False,False,False,False,7,False,False,False,False,closet london mini dress abstract floral
x1 Magic: the Gathering Unstable Clue Token DoubleFaced foil Condition: Mint / Near Mint,2,0,1,0.0,0.7692307692307693,16,False,False,False,False,True,14,False,False,True,False,magic gather unstabl clue token doublefac foil condit mint near mint
Girls Khaki Ribbed Knit Beanie,0,0,0,0.0,1.0,4,False,False,False,False,False,5,False,False,False,False,girl khaki rib knit beani
White 'Believe In Yourself' T Shirt 12 White,0,0,2,0.0,0.7142857142857143,9,False,False,False,False,True,8,False,False,False,False,white believ shirt white
Plant Say No Plus Floral Mini Dress,0,0,0,0.0,1.0,6,False,False,False,False,False,7,False,False,False,False,plant sai plu floral mini dress
New Look frill bib mini dress in blue gingham,0,0,0,0.0,0.2222222222222222,8,False,False,False,False,True,9,False,False,False,False,new look frill bib mini dress blue gingham
"Bedruckte Tischdecke IRUN, beschichtet, reine Baumwolle in weicher Ausführung",1,0,0,0.1111111111111111,0.5555555555555556,10,False,False,False,False,False,9,False,False,False,False,bedruckt tischdeck irun beschichtet rein baumwol weicher ausführung
x1 Fila Vintage Settanta Track Top Navy Exclusive Pro F Size: L Colour: NAVY/GARDENIA/RED,0,1,1,0.08333333333333333,0.9166666666666666,17,False,False,False,False,True,14,False,False,True,False,fila vintag settanta track top navi exclus pro size colour navygardeniar
Jeff Banks Brit Navy Knitted Marl Tie,0,0,0,0.0,1.0,6,False,False,False,False,True,7,False,False,False,False,jeff bank brit navi knit marl tie
50s Bibi Basic Tie Top in Black,0,0,2,0.0,0.7142857142857143,6,False,False,False,False,True,7,False,False,False,False,bibi basic tie top black
Maison Riviera black slim dogtooth shorts L Black,0,1,0,0.0,0.42857142857142855,7,False,False,False,False,True,8,False,False,False,False,maison riviera black slim dogtooth short black
Grey Lace Shoulder Brushed Top,0,0,0,0.0,1.0,4,False,False,False,False,True,5,False,False,False,False,grei lace shoulder brush top
