item,category,count_sizes,number_count,fraction_upper_words,fraction_upper_start_words,special_char_count,has_volume,has_weight,has_uk_size,has_area,has_color,spaces,has_cm,has_m,has_xn,has_french_combinations,item_processed
Dishmatic Wash Up Brush Scrubbing Head Refill 3 Pack,2,0,1,0.0,1.0,8,False,False,False,False,False,9,False,False,False,False,dishmatic wash brush scrubbing head refill pack
Pale yellow loose fit jeans - 215 - M,0,1,3,0.0,0.1666666666666666,10,False,False,False,False,True,9,False,False,False,False,pale yellow loose fit jeans
x1 Pokemon SM Celestial Storm 63/168 Shuppet Condition: Mint / Near Mint,2,0,6,0.0909090909090909,0.8181818181818182,14,False,False,False,False,True,12,False,False,True,False,pokemon sm celestial storm shuppet condition mint near mint
x2 Grandeco Stone Pattern Grey Wallpaper Faux Effect Realistic Embossed Brick,1,0,1,0.0,0.9090909090909092,10,False,False,False,False,True,11,False,False,True,True,grandeco stone pattern grey wallpaper faux effect realistic embossed brick
x1 LookX Golden Red Pearl Lipstick 101 colour: Red,2,0,4,0.0,0.6666666666666666,9,False,False,False,False,True,9,False,False,True,False,lookx golden red pearl lipstick colour red
Tutti Bambini Rio Cot Bed with Cot Top Changer and Mattress - White,1,0,0,0.0,0.8333333333333334,13,False,False,False,False,True,13,False,False,False,False,tutti bambini rio cot bed cot top changer mattress white
Gym King Ribbed Joggers,1,0,0,0.0,1.0,3,False,False,False,False,False,4,False,False,False,False,gym king ribbed joggers
Silentnight Wellbeing Collection Lavender Scented Pillow,1,0,0,0.0,1.0,5,False,False,False,False,False,6,False,False,False,False,silentnight wellbeing collection lavender scented pillow
NYX Professional Makeup Worth The Hype Waterproof Mascara Black 7ml,2,0,1,0.1,0.9,9,True,False,False,False,True,10,False,True,False,True,nyx professional makeup worth hype waterproof mascara black ml
Public Desire Steal platform perspex heeled sandal in beige,0,0,0,0.0,0.3333333333333333,8,False,False,False,False,True,9,False,False,False,False,public desire steal platform perspex heeled sandal beige
Letter Embroidery Lettuce Trim Cami Top,0,0,0,0.0,1.0,5,False,False,False,False,False,6,False,False,False,False,letter embroidery lettuce trim cami top
Jabra Elite 85t Titanium Black and Charging Pad (EMEA),2,0,2,0.1111111111111111,0.6666666666666666,10,False,False,False,False,True,9,False,False,False,False,jabra elite titanium black charging pad emea
England 2020 Stadium Home,1,0,4,0.0,0.75,3,False,False,False,False,False,4,False,False,False,False,england stadium home
NYX PMU Can't Stop Won't Stop Contour Concealer Alabaster,2,0,0,0.2222222222222222,1.0,10,False,False,False,False,False,9,False,False,False,False,nyx pmu cant stop wont stop contour concealer alabaster
birkenstock khaki  arizona sandals UK 8,0,0,1,0.2,0.2,6,False,False,True,False,False,6,False,False,False,False,birkenstock khaki arizona sandals uk
Royal Regiment of Scotland - Stable Belt,1,0,0,0.0,0.8333333333333334,7,False,False,False,False,False,7,False,False,False,False,royal regiment scotland stable belt
SAMPLE - Shampoo & Conditioner Packette,2,0,0,0.25,1.0,7,False,False,False,False,False,6,False,False,False,False,sample shampoo conditioner packette
iDeal Of Sweden Fashion Case Sylvie Meis iPhone XS Black Reef Marble,2,0,0,0.0833333333333333,0.8333333333333334,11,False,False,False,False,True,12,False,False,False,False,ideal sweden fashion case sylvie meis iphone xs black reef marble
Mylee Mint leaf Gel Polish 10ml,2,0,2,0.0,0.6666666666666666,5,True,False,False,False,True,6,False,True,False,False,mylee mint leaf gel polish ml
New Look Curve ruched mini tea dress in green gingham,0,0,0,0.0,0.3,9,False,False,False,False,True,10,False,False,False,False,new look curve ruched mini tea dress green gingham
Moses Basket - Boris,1,0,0,0.0,1.0,4,False,False,False,False,False,4,False,False,False,False,moses basket boris
The Pleat Is On - Jumpsuit In COBALT,0,0,0,0.1428571428571428,1.0,8,False,False,False,False,False,8,False,False,False,False,pleat jumpsuit cobalt
Outdoor Revolution Sun Star 300 Duvet Stock Due Approx. 06/04/2021,1,0,11,0.0,0.8,12,False,False,False,False,False,10,False,False,False,False,outdoor revolution sun star duvet stock due approx
Aura Ready Made Eyelet Curtains Natural - 66'' x 90'',1,0,4,0.0,0.75,14,False,False,False,False,False,10,False,False,False,False,aura ready made eyelet curtains natural
Stetson - Hatteras Old Cotton Newsboy - Sixpence/Flat Cap - Brown - XL (60-61 CM),0,0,4,0.1818181818181818,0.9090909090909092,22,False,False,False,False,True,15,False,False,False,False,stetson hatteras old cotton newsboy sixpenceflat cap brown xl cm
Yankee Classic Garden By The Sea Votive,1,0,0,0.0,1.0,6,False,False,False,False,False,7,False,False,False,False,yankee classic garden sea votive
Bumble and bumble hairdresser's Invisible Oil heat/UV protective primer travel size 60ml,2,0,2,0.0,0.25,13,True,False,False,False,False,12,False,True,False,False,bumble bumble hairdressers invisible oil heatuv protective primer travel size ml
x1 Pram Fur Hood Trim Attachment for Pushchair Compatible with Silver Cross  Pink Colour: Pink,1,0,1,0.0,0.8,16,False,False,False,False,True,15,False,False,True,False,pram fur hood trim attachment pushchair compatible silver cross pink colour pink
Farrah Faux Fur Jacket,0,0,0,0.0,1.0,3,False,False,False,False,False,4,False,False,False,True,farrah faux fur jacket
Monki Kiko organic cotton twisted seam jeans in blue,0,0,0,0.0,0.2222222222222222,8,False,False,False,False,True,9,False,False,False,False,monki kiko organic cotton twisted seam jeans blue
Shape Brown Ombre Mesh Square Neck Crop Top,0,0,0,0.0,1.0,7,False,False,False,False,True,8,False,False,False,False,shape brown ombre mesh square neck crop top
Pastel Slogan Decorated Storage Basket Blue,1,0,0,0.0,1.0,5,False,False,False,False,True,6,False,False,False,False,pastel slogan decorated storage basket blue
Urban Threads oversize button through cord dress in khaki,0,0,0,0.0,0.2222222222222222,8,False,False,False,False,False,9,False,False,False,False,urban threads oversize button cord dress khaki
Eveline Cosmetics Slim Extreme 4D Scalpel Fettförbrännande kroppsserum  250 ml,2,0,4,0.1,0.6,10,False,False,False,False,False,10,False,False,False,False,eveline cosmetics slim extreme scalpel fettförbrännande kroppsserum ml
Rhubarb & Wild Mint Fragrance Oil (Bottle Size: 50ml),2,0,2,0.0,0.75,12,True,False,False,False,True,9,False,True,False,False,rhubarb wild mint fragrance oil bottle size ml
Nike Revolution 5 Infant,2,0,1,0.0,1.0,3,False,False,False,False,False,4,False,False,False,False,nike revolution infant
Purple Liquid Candle Dye,1,0,0,0.0,1.0,3,False,False,False,False,True,4,False,False,False,False,purple liquid candle dye
NYX Professional Makeup UltimateEdit Petite Eye Shadow Palette - Warm Neutrals,2,0,0,0.1,1.0,11,False,False,False,False,False,11,False,False,False,True,nyx professional makeup ultimateedit petite eye shadow palette warm neutrals
South Beach Nude Nail Polish,2,0,0,0.0,1.0,4,False,False,False,False,False,5,False,False,False,False,south beach nude nail polish
Bellamy 3 Piece Floating Shelf Set,1,0,1,0.0,1.0,5,False,False,False,False,False,6,False,False,False,False,bellamy piece floating shelf set
nike pink little rift trainers toddler UK 7.5,2,0,2,0.125,0.125,8,False,False,True,False,True,8,False,False,False,False,nike pink little rift trainers toddler uk
ANGLED BLUSH BRUSH 06,2,0,2,0.75,0.75,3,False,False,False,False,False,4,False,False,False,False,angled blush brush
6 Piece Towel Bale,1,0,1,0.0,1.0,3,False,False,False,False,False,4,False,False,False,False,piece towel bale
Miss Selfridge tiered maxi dress in black,0,0,0,0.0,0.2857142857142857,6,False,False,False,False,True,7,False,False,False,False,miss selfridge tiered maxi dress black
Artful Lines No2 (30x40),1,0,5,0.0,0.75,5,False,False,False,True,False,4,False,False,True,False,artful lines
Pokemon Spring 2021 - V Forces Tin - Mew V,2,0,4,0.0,0.8333333333333334,11,False,False,False,False,False,10,False,False,False,False,pokemon spring forces tin mew
Lancashire Microfibre Mattress Topper,1,0,0,0.0,1.0,3,False,False,False,False,False,4,False,False,False,False,lancashire microfibre mattress topper
Light green muscle fit T-shirt XXL Green,0,1,0,0.1428571428571428,0.5714285714285714,7,False,False,False,False,True,7,False,False,False,False,light green muscle fit shirt xxl green
Double Buckle Footbed Sliders,1,0,0,0.0,1.0,3,False,False,False,False,False,4,False,False,False,False,double buckle footbed sliders
x1 SikSilk S/S Tournament Tee  Black  Oil Paint MEN SIZES TOP: Small,0,0,1,0.3333333333333333,0.9166666666666666,15,False,False,False,False,True,12,False,False,True,False,siksilk ss tournament tee black oil paint men sizes top small
Morphe Mega Matte Nude Lipstick - Commit,2,0,0,0.0,1.0,7,False,False,False,False,False,7,False,False,False,False,morphe mega matte nude lipstick commit
Lighweight Sheer Highlighter Radiant Illuminator Glow Makeup Shimmer Facial Bronzer Contour Cosmetic,2,0,0,0.0,1.0,11,False,False,False,False,False,12,False,False,False,True,lighweight sheer highlighter radiant illuminator glow makeup shimmer facial bronzer contour cosmetic
1pc Portable Food Sealer,1,0,1,0.0,0.75,3,False,False,False,False,False,4,False,False,False,False,pc portable food sealer
New Look Curve puff sleeve mini wrap dress in white pattern,0,0,0,0.0,0.2727272727272727,10,False,False,False,False,True,11,False,False,False,False,new look curve puff sleeve mini wrap dress white pattern
Too Faced Damn Girl! 24-Hour Mascara,2,0,2,0.0,0.8333333333333334,7,False,False,False,False,False,6,False,False,False,False,faced damn girl hour mascara
Polaroid Hi-Print 2x3 Pocket Bluetooth Photo Printer,2,0,2,0.0,0.8571428571428571,7,False,False,False,False,True,7,False,False,True,False,polaroid hi print pocket bluetooth photo printer
Aliane Daybed with Trundle,1,0,0,0.0,0.75,3,False,False,False,False,False,4,False,False,False,False,aliane daybed trundle
igor yellow star sandals toddler UK 9,2,0,1,0.1666666666666666,0.1666666666666666,6,False,False,True,False,True,7,False,False,False,False,igor yellow star sandals toddler uk
Pure Series™ Pure Whey Isolate™ 90 Banana 1kg,2,0,3,0.0,0.75,9,False,True,False,False,False,8,False,False,False,False,pure series pure whey isolate banana kg
Diamond Flowers Choker Charm Necklace in 9ct Yellow Gold,0,0,1,0.0,0.7777777777777778,8,False,False,False,False,True,9,False,False,False,False,diamond flowers choker charm necklace ct yellow gold
Solid Khaki Terry Shirt  M,0,1,0,0.0,1.0,5,False,False,False,False,False,5,False,False,False,False,solid khaki terry shirt
Light Blue Distressed Denim Oversized Shirt - Deena,0,0,0,0.0,1.0,8,False,False,False,False,True,8,False,False,False,False,light blue distressed denim oversized shirt deena
Luminous iPhone Data Cable,2,0,0,0.0,0.75,3,False,False,False,False,False,4,False,False,False,False,luminous iphone data cable
